250408653830619137	589
479140516341088266	295
660645035674566714	4869
452268312500371477	10
354221132146278420	4535
453651128568250368	582
200082201990135808	1
355508616142258177	2
632310320303702017	134
534704671500271627	32
618531336256487425	24
568241124674895882	45
684276544381648935	1
273963619925098496	3
477951703358898196	4
517738750814453771	2
395980133565071360	3
209499665618436096	1
255569503168102401	4
489502776737660967	7
134788414682824705	17
532954857145892864	5
617511670868082689	1
259087759795290114	17
580089406845616178	2
691900277380481084	1
667493124850974740	1
333431801336954893	29
372491512862343179	2
398813196531662850	1
546447947399692298	1
428376845612875782	1
277653544352350209	15
624991999275302946	13
690324628358299658	9
502468936533803028	2
693543150714880130	3
116354928573677570	1
171780277595537408	1
632413979435728906	2
548770435031105563	5
533958200584699917	1
665696473135972372	1
232124053220098048	8
674516004830969887	2
625763187643514892	73
247394932438859777	3
302895580433088513	4
593526686042292248	1
693327819593482251	1
327340059487633410	3
681566276937973779	11
383657616737566723	3
684964705172979795	3
244312250775633920	1
302545816403574785	1
492256595154173954	1
579487178384605184	1
522984350162354176	1
134465909380087809	2
521594161862934549	1
586223568212328450	1
541784461885308938	3
606320476100231169	1
457876508716040193	1
696437569885437982	1
422447062370615307	26
402993672158707733	3
432727035115208714	1
364141441016135711	1
651941096317779978	1
483700486340345866	2
570008499254198273	2
462763940636786688	1
399163322085277698	2
214573604862558209	2
696749328781411380	1
